Gx,Gy,Gz,Intensity,bvals
0,0,0,312,0
0.817324,-0.49673,-0.29196,206,800
0.465087,-0.03533,0.88456,129,800
0.820439,-0.31517,0.477018,174,800
-0.800334,0.593293,-0.05141,233,800
-0.15636,0.78899,-0.59418,154,800
-0.11253,-0.34483,-0.93189,187,800
